dice,iou,accuracy,sensitivity,specificity,image_id
0.9820014238357544,0.9646393060684204,0.9828338623046875,0.9970112442970276,0.9702767729759216,0
0.9537106156349182,0.9115170836448669,0.9915008544921875,0.9932491183280945,0.9913318753242493,1
0.9608104228973389,0.9245766401290894,0.9874267578125,0.9989121556282043,0.9853312373161316,2
0.9685500860214233,0.9390180706977844,0.9802703857421875,0.9451696872711182,0.9968968629837036,3
0.9337942004203796,0.875810444355011,0.9488525390625,0.8816903233528137,0.9953518509864807,4
0.788307249546051,0.6505834460258484,0.8135833740234375,0.6505834460258484,1.0,5
0.9250966906547546,0.8606324791908264,0.94384765625,0.911150336265564,0.963936448097229,6
0.9052530527114868,0.8269062042236328,0.8857574462890625,0.8313073515892029,0.9898272156715393,7
0.8536319732666016,0.7446404099464417,0.8791351318359375,0.7446404099464417,1.0,8
0.9369059205055237,0.8813010454177856,0.94854736328125,0.8820151686668396,0.999380886554718,9
0.9874086976051331,0.975130558013916,0.991424560546875,0.9957073926925659,0.9892408847808838,10
0.9550721049308777,0.9140076637268066,0.956451416015625,0.9145587682723999,0.9993820786476135,11
0.9907828569412231,0.981734037399292,0.993255615234375,0.9967691898345947,0.9912476539611816,12
0.9528072476387024,0.9098681211471558,0.9943695068359375,0.954638659954071,0.996884822845459,13
0.708108127117157,0.5481171607971191,0.89453125,0.9938359260559082,0.8798599243164062,14
0.6877286434173584,0.5240750312805176,0.874969482421875,0.9987823963165283,0.8551732897758484,15
0.6150098443031311,0.4440535604953766,0.9252471923828125,1.0,0.9205004572868347,16
0.620396077632904,0.44969141483306885,0.8476104736328125,0.4522832930088043,0.9978101849555969,17
0.9816344976425171,0.9639313817024231,0.985687255859375,0.9709880948066711,0.9952415823936462,18
0.9743314385414124,0.9499476552009583,0.9875946044921875,0.9921553730964661,0.9861755967140198,19
0.9180256128311157,0.8484725952148438,0.937103271484375,0.9911112785339355,0.9073328971862793,20
0.9728748202323914,0.947182297706604,0.9680938720703125,0.9485000371932983,0.9978847503662109,21
0.9223671555519104,0.8559197187423706,0.9686737060546875,0.8600846529006958,0.9986564517021179,22
0.8622103333473206,0.7577941417694092,0.908721923828125,0.7902047634124756,0.9757950901985168,23
0.9496427774429321,0.9041141271591187,0.9779510498046875,0.9049548506736755,0.9997226595878601,24
0.96427321434021,0.9310111999511719,0.96881103515625,0.9988412261009216,0.9469408988952637,25
0.8397396206855774,0.7237510085105896,0.928619384765625,1.0,0.9121996760368347,26
0.9614212512969971,0.925708532333374,0.9808807373046875,0.9315632581710815,0.9978268146514893,27
0.921303391456604,0.8540894985198975,0.9555206298828125,0.9995899200439453,0.9399991631507874,28
0.8003828525543213,0.6671985983848572,0.92999267578125,0.9895642995834351,0.9201472401618958,29
0.9101424217224121,0.8351022005081177,0.942626953125,0.8351022005081177,1.0,30
0.9495744109153748,0.9039901494979858,0.9632110595703125,0.9350826144218445,0.9797620177268982,31
0.9724563360214233,0.9463893175125122,0.994415283203125,0.9927781224250793,0.9945957660675049,32
0.9847506880760193,0.9699594378471375,0.987457275390625,0.9773530960083008,0.9946065545082092,33
0.9490885138511658,0.9031097888946533,0.9708099365234375,0.966031014919281,0.9726836085319519,34
0.9351851940155029,0.8782608509063721,0.961334228515625,1.0,0.9463760256767273,35
0.9383109211921692,0.8837907314300537,0.9054718017578125,0.8851855397224426,0.9931768178939819,36
0.9001641273498535,0.8184531927108765,0.853363037109375,0.8184531927108765,1.0,37
0.968427836894989,0.9387882351875305,0.9550018310546875,0.9402128458023071,0.9958122968673706,38
0.9700555205345154,0.9418522715568542,0.9659423828125,0.9433514475822449,0.9977583289146423,39
0.8731422424316406,0.7748469710350037,0.9472503662109375,0.7748469710350037,1.0,40
0.9767930507659912,0.9546387791633606,0.9750518798828125,0.9986359477043152,0.9489060640335083,41
0.9807120561599731,0.9621540904045105,0.984954833984375,0.9845253229141235,0.9852277040481567,42
0.9846286177635193,0.9697226881980896,0.9945526123046875,0.9732720255851746,0.9992005825042725,43
0.9033520817756653,0.8237393498420715,0.9246368408203125,0.8242982625961304,0.9994937777519226,44
0.9259628653526306,0.8621330261230469,0.9105682373046875,0.8625185489654541,0.9991754293441772,45
0.9776160717010498,0.9562122821807861,0.990142822265625,0.9822447896003723,0.9923593997955322,46
0.9688189029693604,0.9395235776901245,0.98748779296875,0.9412590265274048,0.9995192289352417,47
0.917782723903656,0.848057746887207,0.98651123046875,0.8487871885299683,0.9999162554740906,48
0.9685605764389038,0.9390377402305603,0.9728546142578125,0.9863580465316772,0.9629178643226624,49
0.9699925780296326,0.9417335391044617,0.965545654296875,0.9754369854927063,0.9523860216140747,50
0.9801720380783081,0.9611150622367859,0.96820068359375,0.9939026832580566,0.8710430264472961,51
0.935955286026001,0.8796202540397644,0.961883544921875,0.8888293504714966,0.9952222108840942,52
0.6395164132118225,0.47006553411483765,0.8716888427734375,1.0,0.855209469795227,53
0.9672225713729858,0.9365257024765015,0.96881103515625,0.9782347679138184,0.9604402780532837,54
0.9511814713478088,0.9069075584411621,0.9288482666015625,0.9069256782531738,0.9999352693557739,55
0.9746896624565125,0.9506288766860962,0.9775390625,0.9878019094467163,0.9695464372634888,56
0.5836421251296997,0.4120725095272064,0.8782806396484375,1.0,0.8669280409812927,57
0.9534608721733093,0.9110609292984009,0.9717559814453125,0.9769179224967957,0.9695839881896973,58
0.9365912079811096,0.8807442784309387,0.9498291015625,0.9406182169914246,0.9558157324790955,59
0.9294164180755615,0.8681399822235107,0.98907470703125,0.87751305103302,0.9990359544754028,60
0.961726725101471,0.9262751936912537,0.9947509765625,0.9660259485244751,0.9968556761741638,61
0.895725429058075,0.8111438155174255,0.9480743408203125,0.8219547867774963,0.9950370788574219,62
0.9532572627067566,0.9106891751289368,0.9903106689453125,0.9655532240867615,0.9931327700614929,63
0.8677589893341064,0.766408383846283,0.92364501953125,0.766408383846283,1.0,64
0.9417377710342407,0.889890730381012,0.984161376953125,0.9918420314788818,0.9830232262611389,65
0.838003933429718,0.721176266670227,0.804534912109375,0.9963912963867188,0.6069138646125793,66
0.9423877000808716,0.8910521268844604,0.975067138671875,0.8979975581169128,0.9977099299430847,67
0.9546397924423218,0.9132161140441895,0.9836578369140625,0.9689622521400452,0.9868286848068237,68
0.9524607062339783,0.9092362523078918,0.9584197998046875,0.9794761538505554,0.9428396821022034,69
0.9533389806747437,0.9108383059501648,0.9486846923828125,0.9325968027114868,0.9693358540534973,70
0.8784759640693665,0.7832876443862915,0.975860595703125,0.7840394973754883,0.9998798370361328,71
0.8945317268371582,0.8091880083084106,0.9021453857421875,0.8177772164344788,0.9890644550323486,72
0.9444462060928345,0.8947400450706482,0.9737091064453125,0.9636794328689575,0.9767372608184814,73
0.8870967626571655,0.7971014380455017,0.949371337890625,0.7971014380455017,1.0,74
0.9797760844230652,0.9603540301322937,0.986602783203125,0.9870973825454712,0.9863605499267578,75
0.9449586272239685,0.8956602811813354,0.982940673828125,0.9997916221618652,0.9800489544868469,76
0.8517968654632568,0.7418520450592041,0.9010162353515625,0.7660571336746216,0.9807286262512207,77
0.9324115514755249,0.8733810782432556,0.9093017578125,0.9100393056869507,0.907679557800293,78
0.8742842078208923,0.7766473293304443,0.8629913330078125,0.7772660255432129,0.9987385272979736,79
0.8723453283309937,0.7735926508903503,0.93267822265625,0.8242659568786621,0.974643886089325,80
0.9149832725524902,0.8432895541191101,0.9670562744140625,0.9999139308929443,0.95997554063797,81
0.9785217046737671,0.9579467177391052,0.993499755859375,0.9799050688743591,0.9959197044372559,82
0.957912266254425,0.919224202632904,0.977630615234375,0.9998202323913574,0.9700511693954468,83
0.9179280400276184,0.848305881023407,0.9090728759765625,1.0,0.8150068521499634,84
0.948820173740387,0.9026240110397339,0.951416015625,0.9432406425476074,0.9588857293128967,85
0.9724476337432861,0.9463728666305542,0.98321533203125,0.9481293559074402,0.9991567134857178,86
0.9568011164665222,0.9171800017356873,0.979278564453125,0.9591199159622192,0.9856185913085938,87
0.8904365301132202,0.802510678768158,0.9668731689453125,0.9984155893325806,0.9619576930999756,88
0.9018837809562683,0.8213008046150208,0.9008941650390625,0.8855235576629639,0.9171746373176575,89
0.9418176412582397,0.8900333642959595,0.9371185302734375,0.9567162990570068,0.9148436784744263,90
0.9673027992248535,0.9366760849952698,0.9873199462890625,0.963700532913208,0.9930278062820435,91
0.9661516547203064,0.9345196485519409,0.982818603515625,0.9880717992782593,0.9810845851898193,92
0.725841224193573,0.5696631073951721,0.8448486328125,1.0,0.8047469258308411,93
0.809461236000061,0.6799116730690002,0.97344970703125,0.692783534526825,0.9983223080635071,94
0.6706979870796204,0.504548966884613,0.901947021484375,1.0,0.8910699486732483,95
0.8902953863143921,0.802281379699707,0.9888916015625,0.9572261571884155,0.9904563426971436,96
0.8073370456695557,0.67691969871521,0.9774017333984375,0.9990341067314148,0.976325511932373,97
0.8611876964569092,0.7562156319618225,0.98309326171875,0.7562156319618225,1.0,98
0.95879065990448,0.9208433032035828,0.993927001953125,0.955033004283905,0.9970340132713318,99
0.8622292280197144,0.7578233480453491,0.9787445068359375,0.7578233480453491,1.0,100
0.912935733795166,0.8398176431655884,0.983917236328125,1.0,0.9824362397193909,101
0.8947686553001404,0.8095759153366089,0.9893798828125,0.8106849193572998,0.9999192357063293,102
0.9762084484100342,0.9535226821899414,0.998077392578125,0.9930849075317383,0.998283863067627,103
0.515242874622345,0.3470216691493988,0.9779205322265625,0.3565136790275574,0.999069094657898,104
0.7454639673233032,0.5942148566246033,0.9775238037109375,0.696255624294281,0.9914795756340027,105
0.8293110132217407,0.7083957195281982,0.96136474609375,1.0,0.957362949848175,106
